Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
500,7.14,0,82.14,0,3.75,D
200,2.86,5.71,27.14,0,2.9175,D
225,2.5,3.75,37.5,0,1.8325,D
200,2.5,3.75,35,0,1.083333333,D
175,2.5,1,40,0,1.833333333,C
200,2.5,3.75,35,0,7.795,D
225,2.5,3.75,37.5,0,1.8375,D
250,50,0,50,50,0.81,C
225,2.5,3.75,35,0,5.8325,D
209,2.99,6.72,23.88,0,2,D
0,0,0,66.66666667,0,1.666666667,C
333.3333333,0,0,66.66666667,0,0.416666667,D
400,0,0,93.33,0,1.083333333,D
200,3.333333333,6.666666667,23.33333333,0,1.854166667,D
194,2.99,5.97,23.88,0,0.958333333,D
80,1,0.3,17,0,1,C
140.3508772,1.754385965,0.701754386,28.07017544,0,1.75,C
232.5581395,0,3.488372093,41.86046512,0,1.416666667,D
271,51.7,2.2,4,0,1.166666667,B
333.3333333,0,0,86.66666667,13.33333333,0,C
0,0,0,0.41,0,0,B
0,0,0,0.416666667,0,0.28,B
0,0,0,0,0,0.35,B
0,0,0,0.416666667,0,0,B
0,0,0,0.42,0,0.35,B
0,0,0,0.41,0,0,B
0,0,0,0,0,0,B
0,0,0,0.42,0,0,B
0,0,0,0.42,0,0,B
0,0,0,0,0,0.03,B
500,7.142857143,8.928571429,67.85714286,0,0,E
309.8591549,7.042253521,6.338028169,40.84507042,1.408450704,0,D
100,0,0,26.67,0,0,C
80,6,1,4,0,1.1675,A
80,6,1,4,0,0,A
100,0,0,23.33,0,0,C
365.0793651,3.174603175,0,84.12698413,0,0,D
600,16.66666667,53.33333333,23.33333333,6.666666667,0,D
600,3.333333333,8.333333333,46.66666667,6.666666667,0,D
566.6666667,20,5,30,10,0,C
600,20,3.333333333,16.66666667,10,0,C
433.3333333,6.666666667,5,36.66666667,6.666666667,0,C
433.3333333,10,1.666666667,56.66666667,16.66666667,0.8575,C
439.4736842,2.631578947,10.52631579,65.78947368,0,0.495,E
575,12.5,15,25,2.5,0.495,D
475,7.5,15,67.5,2.5,0.765,D
135,1.84,4.29,11.04,1.2,0.6825,C
500,7.5,10,57.5,7.5,0.745,D
450,7.5,10,62.5,2.5,0.755,D
357.1428571,7.142857143,5.357142857,71.42857143,0,0.435,D
0,3.448275862,0,89.65517241,0,1.07,C
390.2439024,4.87804878,0,95.12195122,0,1.116071429,D
600,26.66666667,10,25,3.333333333,1.337209302,D
343.75,0,0,87.5,0,1.447368421,D
550,20,3.333333333,16.66666667,10,1.617647059,B
464,35.71,3.57,32.14,7.1,0.0825,C
225,2.5,0,55,7.5,0.89673913,C
500,3.333333333,23.33333333,70,3.3,0.194444444,E
325,0,0,80,5,0,C
350,0,0,87.5,2.5,1.13284,D
350,2.5,0,90,5,0.1775,C
339,0,0,82.14,3.6,0.125,C
500,3.571428571,7.142857143,60.71428571,3.571428571,0.1875,D
237.5,2.5,0,62.5,7.5,0.125,C
359,2.56,0,84.62,5.1,0.1875,C
357.1428571,0,0,85.71428571,0,0.1875,D
566.6666667,20,6.666666667,40,10,0,D
500,20,3.33,40,3.3,0.1875,C
600,26.67,6.67,40,10,0.205,D
571,10.71,5.36,46.43,3.6,0,D
367,6.67,0,86.67,0,0,C
467,3.33,13.33,73.33,3.3,0,E
425,2.5,0,80,2.5,0.194444444,D
467,3.33,13.33,73.33,3.3,0.1905,E
341,0,0,87.8,0,0,D
375,2.5,0,92.5,0,0.109649123,D
467,3.33,16.67,73.33,3.3,0.11627907,E
600,30,13.33,13.33,10,0,C
536,3.57,28.57,57.14,7.1,0,E
550,20,3.33,16.67,10,0,B
500,17.86,3.57,42.86,32.1,0,C
536,17.86,3.57,28.57,28.6,0.833333333,C
375,14.29,3.57,64.29,7.1,0,C
500,10,13.33,23.33,10,0,D
633,16.67,3.33,16.67,13.3,0,C
500,16.67,6.67,40,6.7,0,C
500,16.67,6.67,40,6.7,0,C
500,16.67,6.67,40,6.7,0,C
633,16.67,3.33,20,6.7,0,C
566.6666667,20,3.333333333,16.66666667,13.3,0.580357143,C
567,20,3.33,20,13.3,0.176056338,C
567,23.33,3.33,16.67,13.3,2.5,C
600,20,3.33,16.67,10,0.3048,C
600,20,3.33,16.67,10,0.3048,C
500,17.85714286,3.571428571,42.85714286,32.14285714,0.5825,C
536,17.86,3.57,28.57,28.6,1.23015873,C
567,16.67,10,30,3.3,0.75,D
567,16.67,10,30,3.3,0.541666667,D
733,10,13.33,13.33,10,1.583333333,D
533.3333333,23.33333333,10,16.66666667,3.3,1.333333333,C
533,33.33,10,13.33,3.3,2.416666667,C
533,16.67,10,30,3.3,0,D
567,16.67,10,30,3.3,0.559210526,D
300,5,0,72.5,0,0,C
400,5,10,72.5,2.5,0.875,E
575,12.5,15,47.5,2.5,0,E
375,5,7.5,45,2.5,0.22,D
481,11.11,11.11,55.56,7.4,2.1875,D
562,10,12.5,35,5,0.133928571,D
513,7.69,17.95,61.54,0,0,E
275,5,0,65,0,0,C
361,0,0,94.44,0,1.333333333,D
316,5.26,0,76.32,0,0.390625,C
450,7.5,0,72.5,0,0,D
526,15.79,5.26,55.26,5.3,0.4475,D
476,7.14,3.57,71.43,2.4,0.0625,D
349,0,0,90.7,0,0,D
349,0,0,88.37,0,0.005,D
367,0,0,93.33,0,0.5625,D
467,6.67,0,73.33,0,1.25,D
375,2.5,5,75,2.5,0.49,D
400,0,0,100,0,0.133928571,D
349,0,0,86.05,0,0,D
349,2.56,1.28,66.67,0,0.095,D
225,2.5,0,55,7.5,0.3125,C
667,16.67,6.67,13.33,6.7,0.916666667,C
567,26.67,6.67,16.67,10,1.3325,C
325,0,0,80,5,3.38582,C
567,20,6.67,40,9.3,3.75,D
533,16.67,6.67,43.33,6.7,1.4175,D
450,5,15,72.5,2.5,0.9175,E
536,14.29,7.14,39.29,3.6,0.4375,D
700,10,6.67,13.33,10,0.9175,C
700,6.67,6.67,13.33,6.7,0,C
667,13.33,16.67,13.33,6.7,0.345,C
550,20,3.33,16.67,10,0.8325,B
533,16.67,10,30,3.3,0.0425,D
567,16.67,10,30,3.3,0.0175,D
607.1428571,21.42857143,7.142857143,14.28571429,7.142857143,0,C
464,35.71,3.57,32.14,7.1,0.045,C
417,23.33,0,66.67,6.7,0.08,C
500,3.33,23.33,66.67,3.3,0.01,E
325,0,0,80,5,0,C
350,0,0,87.5,2.5,0,D
350,2.5,0,90,5,0.84582,C
250,2.5,0,10,7.5,0.84582,A
339,0,0,82.14,3.6,0.8325,C
350,0,0,87.5,2.5,0.9175,D
667,6.67,60,26.67,6.7,0,D
500,0,7.14,60.71,3.6,0,D
366,0,0,90.24,2.4,0,D
389,2.78,0,91.67,5.6,0.45,C
567,20,6.67,40,10,1.3325,D
475,7.5,12.5,67.5,2.5,0,D
533,6.67,6.67,60,6.7,0.08,D
533,16.67,6.67,43.33,6.7,0.8325,D
500,20,3.33,40,3.3,0.0425,C
500,13.33333333,3.333333333,40,3.333333333,0.0425,C
533,3.33,5,56.67,6.7,0.041666667,D
500,10,6.67,50,6.7,1.4175,D
275,5,0,65,0,0.0425,C
450,8,2,72,12,0.8325,C
520,7.84,1.96,58.82,7.8,0.0625,C
467,3.33,20,73.33,3.3,0.22,E
538,2.56,2.56,53.85,2.6,0.405,D
475,7.5,12.5,67.5,2.5,0.155,D
550,20,3.33,16.67,10,0.3325,B
667,16.67,6.67,13.33,6.7,0.41148,C
667,16.67,6.67,13.33,6.7,0.2575,C
633,16.67,3.33,20,6.7,0.125,C
567,20,3.33,20,13.3,0.105,C
567,23.33,3.33,16.67,13.3,0.165,C
600,20,3.33,16.67,10,0,C
500,17.86,3.57,42.86,32.1,0.79,C
536,17.86,3.57,28.57,28.6,0.4175,C
567,16.67,10,30,3.3,0,D
567,16.67,10,30,3.3,0.0875,D
533,23.33,10,16.67,3.3,0.0175,C
533,33.33,10,13.33,3.3,0,C
400,5,10,72.5,2.5,0.125,E
575,12.5,15,47.5,2.5,0,E
475,7.5,10,67.5,5,0,D
562.5,10,12.5,37.5,5,0.09,D
475,5,0,72.5,0,0.0625,D
326,0,0,81.4,0,0,D
316,5.26,0,73.68,0,0.0825,C
326,4.65,0,76.74,0,0.005,D
500,10,1.25,72.5,2.5,0.9175,C
467,6.67,3.33,66.67,6.7,2.5,C
526,15.79,5.26,55.26,5.3,1.625,D
533,16.67,10,30,3.3,0.9375,D
533,16.67,6.67,43.33,3.3,0,D
567,20,6.67,40,3.3,0,D
333,2.22,0,82.22,4.4,0.0075,C
700,10,6.666666667,13.33333333,10,0,C
700,6.67,6.67,13.33,6.7,0.0425,C
550,20,3.33,16.67,10,0.8325,B
533,16.67,10,30,3.3,1.25,D
566.6666667,20,6.666666667,26.66666667,10,0.4475,C
567,16.67,10,30,3.3,1.5,D
607,21.43,7.14,14.29,7.1,0,C
533,33.33,10,13.33,3.3,0.005,C
417,23.33,0,66.67,6.7,0.5625,C
367,6.67,0,86.67,0,1.25,C
411,7.14,0,75,21.4,0.03,C
589,10.71,0,46.43,17.9,0.49,C
225,2.5,0,55,7.5,0.5625,C
500,3.33,23.33,66.67,3.3,0.0825,E
325,0,0,80,5,0.135,C
275,2.5,0,75,7.5,0.1525,C
350,0,0,87.5,2.5,0.105,D
350,2.5,0,90,5,0.9175,C
339,0,0,82.14,3.6,2.25,C
500,3.57,7.14,60.71,3.6,0.0825,D
500,16.6667,6.6667,46.6667,0,2.5,D
533,16.67,6.67,43.33,6.7,1.3325,D
533,23.33,10,16.67,3.3,0,C
500,3.33,23.33,66.67,3.3,0.45,E
550,20,3.33,16.67,10,0.4175,B
575,12.5,15,47.5,2.5,1.0625,E
481,11.11,11.11,55.56,7.4,0.375,D
475,7.5,10,67.5,5,3.53,D
425,5,15,30,7.5,0.9175,D
357,7.14,0,80.95,0,0.9925,C
500,10,1.25,72.5,2.5,2.25,C
526,15.79,5.26,55.26,5.3,0,D
538,2.56,2.56,53.85,5.1,0,D
349,0,0,86.05,0,0,D
349,0,0,86.05,0,0.9175,D
367,0,0,93.33,0,0,D
357,0,0,90.48,0,0,D
425,2.5,10,70,2.5,0.45,E
0,0,0,100,0,0.045,C
0,0,0,0.199,0,0.08,B
0,0,0,0.199,0,0.8325,B
0.199203187,0,0,0.199203187,0,0.0425,B
0.199203187,0,0,0.199203187,0,0.0425,B
0,0,0,5.882352941,0,1.4175,B
0,0,0,0.199203187,0,0.22,B
0,0,0,0.42,0,0.405,B
0,0,0,0.2,0,0.1875,B
0,0,0,0.42,0,0.40625,B
0,0,0,0.2,0,0.0625,B
0,0,0,0.2,0,0.0575,B
0,0,0,0.42,0,0.1325,B
0,0,0,0.2,0,0.145,B
0,0,0,0.42,0,0.03,B
0,0,0,0.2,0,0.0825,B
0,0,0,0.2,0,0.79,B
0,0,0,0.199,0,0,B
0,0,0,0.199,0,2.5,B
0,0,0,0.199,0,0.9175,B
0,0,0,0.199,0,0,B
0,0,0,0.199,0,0,B
0,0,0,0.199203187,0,0,B
0,0,0,0.199,0,0,B
0,0,0,0.199,0,0.0425,B
0,0,0,0.199203187,0,1.583333333,B
0,0,0,0.21141649,0,0.8325,B
0,0,0,0,0,1.25,B
0,0,0,0,0,1.4175,B
0,0,0,0,0,1.5,B
0,0,0,0.21141649,0,1.4175,B
0,0,0,0.169204738,0,0.3125,B
0,0,0,0,0,0.3575,B
0,0,0,0.169204738,0,0.0625,B
0,0,0,0,0,0,B
0,0,0,0,0,0.005,B
0,0,0,0,0,0,B
0,0,0,0,0,0.5625,B
0,0,0,0,0,1.25,B
0,0,0,100,0,0.49,C
0,0,0,0,0,0.135,B
0,0,0,0,0,0.83333325,B
0,0,0,0,0,2.5,B
0,0,0,0,0,0.0425,B
0,0,0,0,0,0,B
0,0,0,100,0,0,C
0,0,0,100,0,0.405,C
0,0,0,0,0,0.3325,B
0,0,0,0,0,0.1875,B
0,0,0,0,0,0,B
0,0,0,0,0,0.12,B
4.060913706,0,0,0.169204738,0,0.03,B
0,0,0,0.199203187,0,0.79,B
392.8571429,10.71428571,14.28571429,1.785714286,0,0.9925,C
392.8571429,10.71428571,14.28571429,1.785714286,0,0,C
232,16.07,6.25,3.57,0,0,C
228,15.79,6.14,3.51,0,0.0175,C
178.5714286,19.64285714,2.678571429,1.785714286,0,0.4175,A
223.4016786,9.406386466,7.05478985,2.351596617,0,0,C
50,1.25,0.208333333,6.666666667,0.416666667,18.75,B
589,32.7,7.3,47,5.6,0,D
223.2200012,13.38000011,6.300000191,0.800000012,0.5,0,C
332.2999878,8.100000381,0,47.20000076,23.27000046,0,C
425,8.1,3.3,0,3.2,0,A
0,0,0,0,0,0.147058824,B
359,5.46,0.992,57.38,0,0,D
415,28,9,6,0,0,C
553.8,4.38,0.89,58.8,0,0,D
362,8.51,0,78.72,0,0,C
196,12.5,4.46,3.57,0,0,B
352.7336861,12.34567901,0,74.07407407,2.998236332,0,C
18,0,0,3.57,0,0,B
0,0,0,0,0,0,B
0,0,0,0,0,0,B
340,6,0,78,0,0,D
340,6,0,78,0,0,D
340,6,0,78,0,0,D
360,8,2,76,4,0,C
360,8,2,76,4,0,C
344,6.67,0,77.78,0,0,C
0.877192982,0.175438596,0,0.175438596,0.175438596,0,B
300,2.5,0,77.5,7.5,0,C
292.8571429,0,0.357142862,57.85714558,0,0,D
866.6666667,0,6.666666667,0,0,0,D
304.3478261,2.173913043,0,78.26086957,6.52173913,0,C
380,12,0,80,4,0,C
286,10,0,60,0,0.04,C
355,12.9,0,74.19,0,0.0375,C
167.8571429,3.571428571,0,21.42857143,3.571428571,0.04,A
304.3478261,2.173913043,0,78.26086957,6.52173913,0,C
366.6666667,3.333333333,6.666666667,70,6.666666667,0.035956007,D
273,2.27,0,75,6.8,0.035,C
250,0,0,65,0,0.035956007,D
250,0,0,65,0,0.035,D
304,2.17,0,78.26,6.5,0.04,C
306,2.2,0.2,72,2,0.035,C
304,2.17,0,78.26,6.5,0.04,C
275,2.5,0,65,12.5,0.035,C
239.2857143,3.571428571,0,64.28571429,7.142857143,18.75,C
293.3333333,4.666666667,0.333333333,56,14.66666667,0.035,C
333,6.67,0,77.78,0,0.035,C
333.3333333,6.666666667,0,77.77777778,0,0.04,C
355.5555556,6.666666667,0,77.77777778,0,0.04,C
355.5555556,6.666666667,0,77.77777778,4.444444444,0.04,C
333,6.67,0,77.78,0,18.75,C
333,6.67,0,77.78,0,18.75,C
356,6.67,0,77.78,2.2,0.04,C
419.5804196,20.97902098,0,34.96503497,34.96503497,0.04,B
377.7777778,8.888888889,0,77.77777778,4.444444444,0.04,C
357.1428571,7.142857143,0,76.78571429,1.785714286,0.04,C
355.5555556,6.666666667,0,77.77777778,4.444444444,0.035956007,C
382,8.82,1.47,50,8.8,0,C
588,8.82,10.29,47.06,8.8,2.142857143,D
210,10,1,22,8,2.142857143,A
270,15,0,65,5,2.1425,C
306,2.2,0.2,72,2,2.105,C
58.33333333,0.416666667,0,13.33333333,0,1.383928571,B
400,0,0,93.33333333,0,1.117008393,D
286,10,0,60,0,0.104166667,C
306,2.2,0.2,72,2,0,C
306,2.2,0.2,72,8,0,C
268,2,0,64.2,0,0,D
20,0,0,0,0,0.7,B
58,4.4,0.1,9.1,1.2,0,A
431.25,12.5,12.5,43.75,12.5,0.0232,D
540,22,10,33,0,3.8,D
108,5.8,3.2,6.2,1.4,0,B
5.172413793,10.34482759,1.034482759,79.31034483,6.896551724,0,B
0,0,0,0,0,2.5,B
42.37288136,0,0,11.29943503,0,0,B
45,0,0,11.3,0,2.6775,B
56,0,0,13.84,0,3.048,C
51,0,0,12.71,0,3,B
51,0,0,12.68,0,0.05,B
156,26,1.5,1,0,0.05,A
113,27,0.1,0.5,0,0.05,A
140,12,3,0,0,0,A
14.39688716,0.389105058,0,2.723735409,0,0,B
371.4285714,5.714285714,2.857142857,62.85714286,2.857142857,0,C
0,0,0,0,0,0,B
3.571428571,2.380952381,0,55.95238095,0,0,C
267.8571429,10.71428571,0,57.14285714,0,0,C
366.6666667,13.33333333,0,73.33333333,6.666666667,0,C
170,19,3.299999952,1,0,0,B
118.9710611,7.073954984,0.964630225,12.86173633,0.643086817,0,A
62.5,12.5,0,0,0,0,A
53.57142857,11.60714286,0,0,0,0,A
118,22.35,0,0,0,0.875,A
89.28571429,19.64285714,0,2.678571429,0,0.054347826,A
87,15.93,0,0.88,0,0,A
89.28571429,19.64285714,0,2.678571429,0,0.23114,A
160,15,3,17,7,0,A
74,2.03,0,17.57,1.4,0,B
74,2.03,0,17.57,1.4,0.055,B
74,2.03,0,17.57,1.4,0.005,B
74,2.03,0,17.57,1.4,0.055,B
50,0,0,12.5,0,0,B
282,2.5,0,75,0,0,D
279,8.4,0.2,56.5,3.2,0,C
292,0,0,0,0,0,C
93,0.6,0,4.3,0,0,B
348,0.5,0,85,0,0,D
40,0,0,10,0,0,B
46,0,0,11.3,0,0,B
41,0,0,10,0,0.0275,B
50,0,0,12,0,0.0325,B
50,0,0,12,0,0,B
46,0,0,11,0,0,B
46,0,0,11,0,2.232142857,B
42.85714286,0,0,10.57142857,0,0,B
375,78.57142857,0,7.142857143,0,0,B
375,78.57142857,0,7.142857143,0,0,B
262,10.9,0.2,49.3,3.4,0.2875,C
214.2857143,21.42857143,8.928571429,0,0,0.125,C
9,0,0,23,0,0,C
384,74.1,0.2,10.3,4.9,0,A
151,2.5,3.1,23.5,0,0,C
268,26.79,7.14,0,0,0,C
214,23.21,5.36,0,0,0,B
196.4285714,23.21428571,2.678571429,7.142857143,0,0,B
214.2857143,7.142857143,1.785714286,17.85714286,3.571428571,0,A
347.3684211,4.210526379,0,55.78947569,24.21052581,0,C
270,1.3,0.2,53.6,0,0,D
77,0.5,0,11.6,3.9,0,A
71,0.9,0,10.1,4.6,0,A
357.1428571,10.71428571,0,75,3.571428571,0.63,C
464,3.57,3.57,75,0,1.379310345,D
483,3.45,6.9,72.41,3.4,0,D
482.7586207,3.448275862,5.172413793,65.51724138,3.448275862,0,D
556,5.56,8.33,55.56,2.8,0.0025,D
476,4.76,0,71.43,0,0.0525,D
516,6.45,9.68,61.29,0,0.01524,E
500,6.67,5,70,3.3,0.015,D
149.4252874,1.149425287,1.724137931,22.98850575,1.149425287,0.9,C
440,8,0,76,4,0.75,C
449,6.12,1.02,71.4,8.16,0.35,C
429,7.14,0,75,0,0,D
647,0,14.71,47.06,0,0,E
469,3.12,4.69,71.88,0,25,D
438,6.25,0,81.25,6.2,1.517857143,C
500,3.33,8.33,66.67,3.3,1.517857143,D
470,4.7,2.35,70.56,9.4,3.166666667,C
429,4.76,2.38,76.19,4.8,0,C
469,6.12,3.06,71.43,6.1,0,C
0,3.45,0,0,0,1.071428571,A
490,7,6,70,3,1.116071429,D
433.3333,6.6667,0,80,6.6667,0.3525,C
476,4.76,2.38,71.43,4.8,0.279017857,C
485,3.03,7.58,66.67,3,0.28,D
0,5,0,0,0,0.279017857,A
500,0,0,66.67,0,0,D
409,9.09,0,77.27,9.1,0,C
543,0,8.57,60,0,0,E
429,7.14,0,71.43,7.1,0,C
398,4.42,0,84.07,8.8,0,C
466.6667,4.4444,5.5556,73.3333,2.2,0.0625,D
467,4.444444444,5.555555556,73.33333333,2.222222222,0,D
482.7586207,3.448275862,5.172413793,68.96551724,0,0,E
482.7586207,3.448275862,20.68965517,72.4137931,3.448275862,0,E
433,6.67,0,80,3.3,6.9,C
448.9795918,6.12244898,1.020408163,71.42857143,10.20408163,0,C
424,6.06,1.52,78.79,3,0,C
429,3.57,5.36,78.57,0,0,D
500,3.57,8.93,71.43,0,0.1,E
464,7.14,8.93,71.43,3.6,0,D
109.9,4,0,24,0,0.1,C
363.6364,9.0909,0,75.7576,0,0,C
500,4.55,6.82,72.7,0,0,E
0,3.45,0,0,0,0,A
488.3721,4.6512,5.814,67.4419,2.3,0.321428571,D
500,5.357142857,5.357142857,67.85714286,1.8,0.321428571,D
490,6.12,5.1,69.39,2,0.85,D
538,7.69,7.69,61.54,0,0.223214286,E
429,4.76,0,76.19,4.8,1,C
429,7.14,3.57,78.57,0,0.8,D
100,1,0,12,1,0,B
482.7586207,3.448275862,5.172413793,68.96551724,0,1.965,E
500,11.54,3.85,53.85,3.8,2.1875,C
476,4.76,7.14,71.43,0,1.116071429,E
488.372093,4.651162791,0,67.44186047,0,0,D
333.3333333,4.444444444,0,77.77777778,0,0,D
458,4.17,6.25,70.83,0,0,E
438,6.25,0,75,3.1,0,C
481,3.7,5.56,74.07,3.7,0,D
130,1,1.5,11,3.7,1.517857143,A
483,3.45,5.17,72.41,3.4,1.25,D
210,4,5,2.5,0,0.9925,C
524,7.14,9.52,61.9,2.4,0.689655172,D
469.3877551,6.12244898,2.040816327,67.34693878,2.040816327,1.11,D
6,0.2,0,1.3,0,2.2625,B
58.82352941,10.58823529,0,3.529411765,0,1.29,A
3000,100,0,100,100,1,C
100,2,0.03,20,0,0.25862069,C
900,0,60,0,0,1.35,E
900,0,60,0,0,2.04,E
321.4285714,0,0,71.42857143,0,0.8025,D
315.7894737,0,0,73.68421053,0,0.2575,D
321.4285714,0,0,71.42857143,0,0.9775,D
83.33333333,0,0,20,0,1.25,C
160,15,4,0,12,0.9575,A
900,0,13,0,0,1.8825,E
714.2857143,7.142857143,5.357142857,25,3.571428571,1.25,C
210.5263158,0,0,52.63157895,0,1.4275,D
210.5263158,0,0,47.36842105,0,0,D
210.5263158,0,0,52.63157895,0,1,D
64.51612903,0,0,12.90322581,0,1.25,B
222.2222222,0,0,55.55555556,0,2.2625,D
121.2121212,0,0,30.3030303,0,0.8325,C
176.4705882,0,0,41.17647059,0,0,D
171,0,0,45.71,0,2.2925,D
171,0,0,42.86,0,1.8175,D
147,0,0,35.29,0,0,C
176,0,0,41.18,0,3.215,D
218.75,6.25,0,18.75,0,0.94,C
350,0,0,85,0,0.9444445,D
0,25,7.8125,21.875,9.375,0.944444444,B
176,7.7,1.7,18.3,7.3,1.293103448,A
215,12.8,2.9,17.6,0,0.862068966,B
250,16.66666667,0,50,0,1.4175,C
166.6666667,0,0,40,0,1.632653061,C
132,7.2,1.5,11.1,0,1.6675,B
254,7.4,2.7,10.2,0,1.34,C
266,12.1,5.3,22.6,2.8,0.535,C
88,2,0,0.200000003,0,1.0275,B
57,10,0,2.700000048,0.140000001,0,A
324,78,0,2.7,0,0.75757575,A
371.6666667,123.3333333,4.833333333,35,12.33333333,0.966,C
225,16.1,0.9,16.2,1.8,0,A
50,0,0,12,1,1.27906975,B
160,5,1,26,2,0.669642857,C
0,14.2,6.6,13,3.6,1.02,A
77,4.62,0.15,13.85,3.1,1.73,A
160,0,0,0,0,0.8325,B
588,21.2,3.8,9.1,12.5,1.16,B
181,27,1.200000048,0,0,0.09,A
174,25,1,1,0.100000001,1.293103448,A
224,29,0.8,14,2.4,2.02,A
16,0.5,0,3,1.5,1.0125,A
368,4.7,8.5,55.1,3,0,D
62.5,3.333333333,2.083333333,5,0,0,B
44,0.8,0.1,9.1,1.2,0.99,B
77,14,0.1,15.8,24,1.405,A
315.7894737,7.894736842,5.263157895,44.73684211,0,0.9725,D
424.7035923,8.847991506,2.654397452,69.01433375,1.769598301,100,D
428.5714286,3.571428571,3.571428571,39.28571429,3.571428571,0.9925,C
429,3.57,3.57,39.29,3.6,3.1,C
415,7.1,8.24,67.6,0,1.31,E
58.33333333,3.333333333,0,10.41666667,0,2.295918367,B
59,3.39,0.08,11.02,0.2,0,B
58.33333333,3.333333333,0,10.41666667,0,0,B
112.5,6.666666667,0,21.25,1.666666667,0,A
59,3.39,0.08,11.02,0.2,0.045,B
55,3.81,1.27,5.08,0,0,B
58.33333333,3.333333333,0,11.25,0,0,B
50,3.333333333,1.25,5,0,0,B
38,3.81,0,5.08,0,0,A
38,3.81,0,5.08,0,0,A
55,3.81,1.27,5.08,0,1.416666667,B
41.66666667,3.333333333,0.625,5,0,0,A
58.33333333,3.333333333,0,11.25,0,0,B
117,3.33,6.67,3.33,0,0.669642857,C
200,3.33,11.67,6.67,0,0,D
200,3.33,11.67,6.67,0,0,D
97,10.62,2.65,4.42,0,0,A
97,10.62,2.65,4.42,0,1.693548387,A
50,0.833333333,0,12.08333333,0.416666667,0.138888889,B
50,0.833333333,0,12.08333333,0.416666667,0,B
178,4.24,3.39,27.97,0.2,0,C
260,5.48,8.22,30.14,1.4,0.8925,D
263,3.95,7.89,32.89,1.3,1.1425,D
236,2.78,5.56,31.94,0,0.6625,D
237,5.26,7.89,31.58,3.9,1.6175,C
280,4,8,29.33,1.3,1.796875,D
203,2.9,6.52,26.09,0,0,D
267,4,8,29.33,1.3,0.3515625,D
229,2.86,7.14,30,0,0.7,D
263,3.95,7.89,31.58,1.3,1,D
247,5.48,6.16,27.4,1.4,0,C
240,2.67,6.67,32,0,4.333333333,D
146,1.22,1.83,30.49,0,0.6,C
146,1.22,1.83,31.71,0,0.4,C
146,1.22,1.83,31.71,0,0.7,C
167,1.28,3.85,28.21,0.3,0,D
200,2.67,5.33,26.67,0,0,D
232,4.35,6.52,24.64,0,0,D
217,2.9,6.52,27.54,1.4,0,D
236,4.17,6.94,29.17,1.4,1.1,C
224,2.99,6.72,28.36,0,0,D
237,3.95,6.58,30.26,0,0,D
233,2.74,6.16,31.51,0,0.01,D
243,2.86,7.14,30,0,1.115,D
247,5.48,6.16,27.4,1.4,0,C
227,4,6.67,28,1.3,0,D
203,2.9,6.52,24.64,0,0,D
203,2.9,6.52,26.09,0,0,D
214,2.86,6.43,27.14,0,1.3,D
203,2.9,6.52,24.64,0,0,D
222,2.78,5.56,30.56,0,0.3,D
42,3.81,0.64,5.08,0,0.125,A
224,3.06,6.12,31.6,0,0.01,D
64,3.39,1.91,4.66,0,0.13,B
120,8,3,12,0,0.723684211,B
64,3.39,1.91,4.66,0,1.725358344,B
64,3.39,1.91,4.66,0,1.205357143,B
50,3.333333333,1.25,5,0,1.205,B
42,3.81,0.64,5.08,0,0,A
258.8235294,10.58823529,2.941176471,36.47058824,0,0.166666667,C
365,17.65,3.53,52.94,8.2,0.18,C
119,5.73,2.2,14.98,1.3,0.166666667,B
128,6.61,3.08,13.22,0.9,0.364583333,B
205.8823529,8.823529412,1.838235294,32.35294118,1.470588235,0.18,C
176.4705882,8.088235294,0.735294118,30.14705882,2.205882353,0.1325,B
165.3543307,6.299212598,0.393700787,33.85826772,3.149606299,0.140625,B
171,7.86,1.43,29.29,2.1,0.119791667,B
195,8.85,2.21,29.2,0.9,0.1375,C
208,8.33,3.75,27.5,1.7,0.1397,C
0,31,2.1,0.5,0.5,0.1325,A
176,12.5,1.1,9.7,8.4,0.114583333,A
64.28571429,0,0,15.71428571,2.142857143,0.140625,B
130,2,0,30,0,0.125,C
100,0,0,23.33333333,0,1.5,C
133.3333333,0,5,6.666666667,0,1.5,C
106,0,0,21.21,0,1.0175,C
372,86,1,1.2,1.2,1.0175,A
316.9014085,2.112676056,4.929577465,37.32394366,1.408450704,0,D
260,15,15.8,0.6,0,0,C
324,8.04,3.92,44.9,1.75,0.2425,C
800,0,13.33,0,0,0.325,E
800,0,13.33,0,0,0.33,E
800,0,13.33,0,0,0.2075,E
800,0,13.33,0,0,0.46,E
800,0,13.33,0,0,0.35,E
800,0,13.33,0,0,0.235,E
800,0,13.33,0,0,0.2675,E
800,0,13.33,0,0,0.1975,E
800,0,13.33,0,0,0.345,E
800,0,13.33,0,0,0.4625,E
800,0,13.33,0,0,0.25,E
823,0,13.7,0,0,0.075,E
800,0,13.3,0,0,0.075,E
800,0,13.33333333,0,0,0.075,E
800,0,13.33333333,0,0,0.16,E
800,0,13.3,0,0,0.2,E
800,0,13.33333333,0,0,0.2725,E
800,0,13.33333333,0,0,0.325,E
800,0,13.33333333,0,0,0.33,E
839.1608392,0,13.98601399,0,0,0.3175,E
800,0,13.3,0,0,0.3775,E
