Energi (kal),Protein (g),Lemak (g),Gula (g),Serat (g),Natrium (mg),Grade
349,3.4,0.1,80.7,0,0.59,D
0,6.8,11.2,75.5,0.1,1,D
330,3.1,0.09,75.9,0,0,D
115,2.2,0.3,21.1,0,0,C
284,30,7,0.5,0,0.09,C
150,3.3,3.4,22,0,0.922,C
1,1,1,1,0,0.67,B
77,15,0.3,2,0,0,A
86,15,0.5,3,0,0,A
423,3,0.6,85.4,0,0,D
423,3,0.6,85.4,0,5.6,D
99,0,4,0,0,0.5,C
180,18.3,4.25,18.3,0,5.1,C
154,5.5,1.6,21,0,0.5,C
226,1,0,56.8,0,5,D
551,6,5,53,0,0.12,D
470,4.1,9.7,76,0,1,E
260,3.33,2,38.7,2,1.8,C
102,4.5,1.4,15,0,1.9,C
135,4.2,2.3,20,0,0.02,C
388,0.5,0.1,97,0,0.02,D
471,4.6,1.3,75,0,0,D
42,0,0,9.95,0,0,B
133,3.5,2,19,0,0.45,C
45,1.2,0.3,3.8,0,0,B
154,5,1.5,12.7,0,0,B
470,4.1,9.7,76,0,0.01,E
508,10.2,11.9,55.9,0,0.647,E
470,4.1,9.7,76,0,0.11,E
197,11,2.9,25,0,0.18,C
277,8.7,11.6,19.9,0,0,D
471,4.6,1.3,75,0,0.03,D
278,10,0.333,53.3,2.22,0,C
391.6666667,8.333333333,0,83.33333333,8.333333333,0.1,C
48,1.8,0.52,0.6,0,1.049,A
369,80.6,1.7,0.1,0,0,B
655,5.9,10.1,11.8,0,0.01,D
657,5.800000191,10,12.19999981,0,0.9,D
642,6.3,9.7,12.2,0,0.01,D
561,8.2,9.6,11.7,1.3,1.5,D
388,1.2,3.3,0.6,0,0.5,C
268,1.9,3.9,1.8,3.5,0.03,B
700,9.8,10,12.8,0,1.52,D
451,5.2,5.6,17.9,0,0,C
214,3.7,0.6,35.9,0,0,C
51,0,0,14,0,0.3,C
464,7,8,71,0,2.4,E
48,0,0,13.3,0,2.400000095,B
83.33333333,2.083333333,0,21.52777778,2.083333333,2.4,B
114,5.36,2.86,7.86,0.357,2.7,B
180,33.9,0,16.6,0,2.9,B
0,0,0,0,0,2.7,B
377,1.5,0.1,93,0,1.1,D
400,0,0,93.3,0,1.96,D
186,28,1.3,0.5,0,0.9,A
553,7.4,23.8,37.5,0,1,E
566,6.7,22.5,51.3,0,0.76,E
570,7.9,22.7,51.7,0,0.05,E
4,0.1,0.1,0.1,0,0.026041667,B
500,6.8,19.3,58.9,0,0.499,E
345,0,0.5,86,0,0.735,D
348,0,0.5,86,0,0,D
418,4.29,0.79,77.68,0,0.02,D
415,4.26,0.79,77.13,0,0,D
414,4.2,0.77,77.02,0,2.3,D
252,0,0,63,0,0.04,D
390,7,4.5,70,0,0.79,D
419,0.6,0.8,0,0.9,1.15,C
411,0.03,3.53,87.86,0,0.001,D
512,0,0.02,0,0,0.99,C
783,0.66,53.04,0.12,0,0,E
688,0.45,46,0.08,0,0,D
720,0,48.96,0,0,0.21,E
411,0.03,3.53,87.86,0,0.21,D
575,9.5,2.9,0,3.9,0.21,A
50,5.8,14,57,0,0,D
550,5.7,22.4,45.1,0,0.975,E
580,3,32,58,0,0.01,E
580,3,32,58,0,0.1,E
580,3,32,58,0,0,E
260,0,0,67,0,0.85,D
527,7.5,18.6,56.7,0,0.25,E
393,0,3.3,87.1,0,0.25,D
393,0,3.3,87.1,0,0.1,D
393,0,3.3,87.1,0,0.003,D
393,0,3.3,87.1,0,0.15,D
393,0,3.3,87.1,0,0.02,D
393,0,3.3,87.1,0,0.5,D
392,1.5,0,96.5,0,0,D
392,1.5,0,96.5,0,0.5,D
469,3.2,0.6,62,0,0,D
431,3.6,13,49,0,0.22,E
581,8.21,26.27,38.13,0,0.12,E
588,7.52,23.64,45.32,0,12,E
530,7.16,24.74,28.74,0,0.12,D
555,8,3,51,0,0.12,D
566,7.4,2.6,44,0,0.12,D
459,5.8,7.7,66,0,0.12393,E
379,5.1,0.5,80.6,0,0,D
368,10,0.3,75,0,0,C
111,12,0,222,0,0.4,C
283.83,8.81,2.36,36.73,0,0.4,C
79,3,0.2,14,1.4,0,B
282,29,6.2,0.5,0,0.7,C
128,7,1,50,1,0.75,C
549,9,20,39,0,0,E
21,0.2,0,4.8,0.5,0.01,B
812,0.98,40.19,0.36,0,0.09,E
0,0,0,58,0,0.24,C
240,8.3,0.3,47,0,0.24,C
607.1428571,17.85714286,8.928571429,32.14285714,3.571428571,0,D
315,2,0,73,7.5,1.05,C
511,7.9,11.5,63.3,0,0,E
557,10,19,44,0,2,E
402,4.3,0.4,2.4,0,0,C
151,11,3.5,10,0,0.06,B
242,0,0,60,0,2.04,D
364,7.79,10.39,44.16,1.3,0.362,D
370,6.48,3.7,47.22,0.9,0,D
277,9.57,0.53,51.06,2.1,1.14,C
347,8,10.67,33.33,1.3,0,D
320,5.33,9.33,38.67,1.3,0.03,D
425,3.54,8.85,61.95,1.8,0.547,E
365,12.94,0,71.76,2.4,0.23,C
459,3.53,15.29,52.94,2.4,10,E
494,8.24,9.41,67.06,2.4,1.4,D
446,3.57,8.93,60.71,1.8,0,E
418,5.88,5.29,51.76,2.4,1.08966,D
353,6.47,2.94,45.88,1.2,0.72898,D
225,7.14,0,42.86,1.8,1.27,C
276,1.63,6.5,39.02,1.6,1.4224,D
446,3.57,8.93,60.71,1.8,1.15062,E
400,4.71,11.76,45.88,1.2,0.56134,E
388,4.71,11.76,42.35,2.4,1.19634,D
398,6.48,4.63,52.78,0.9,0.4191,D
375,1.79,10.71,48.21,1.8,1.70434,E
433,8.33,13.33,45,1.7,0.68072,D
390,6.78,3.39,50.85,1.7,0.6731,D
281,8.77,0,52.63,1.8,0.762,C
642,30,9,18,6,1.36144,D
310,6,9.5,41,0,0.47498,D
418,4.2,10,61,0,0.99822,E
0,4.7,21.1,53.8,0,0.77724,D
506,8.24,9.41,68.24,2.4,0.80772,D
696,5.36,23.21,80.36,3.6,0.8001,E
485,9.2,20,4.4,0,0.40894,D
173,8.8,0.3,26.2,0,1.05918,B
283,8.3,0.2,59,0,0.81788,C
283,8.3,0.2,59,0,1.78308,C
249,9.1,0.3,48,0,0,C
203,7.3,0.2,38,0,0.19,C
283,8.3,0.2,59,0,0.43,C
383,8.7,7.8,57,0,0.09,D
341,4.3,9.9,43,0,1.70434,E
277,3.5,4.3,31,0,0.635,D
0,0,0,0,0,1.46,B
417,6.1,10,44,0,1.22,E
551,6.7,5.2,53,3.3,1.6,D
418,7.4,15,44,0,1.6,E
388,2.5,1.1,92,0,1.1,D
407,2.5,1.1,92,0,1.2,D
388,0.5,0.1,97,0,1.6,D
654,15.2,2.6,13.7,0,1.3,C
436,7.9,13,40,0,0.89,E
311,4.9,9.7,38,0,0.46,D
275,9.4,0.2,55,0,0,C
242,6.5,4.3,35,0,1.7,C
0,3.9,3.6,54.2,4.7,0.1,C
0,3.9,3.6,54.2,4.7,1.2,C
500,7.14,0,62.9,0,0.38,D
64,1.9,0,11.8,0,0.45,B
437,8,1.7,55.2,0,0.6,D
43,0.100000001,0,10.69999981,0,0,B
269,14,16,1.6,0,2,C
250,0,0,95,0,0.82,D
1,0.1,0,0.2,0,0.92,B
